code;product;2000-01;2000-02;2000-03;2000-04;2000-05;2000-06;2000-07;2000-08;2000-09;2000-10;2000-11;2000-12;2001-01;2001-02;2001-03;2001-04;2001-05;2001-06;2001-07;2001-08;2001-09;2001-10;2001-11;2001-12;2002-01;2002-02;2002-03;2002-04;2002-05;2002-06;2002-07;2002-08;2002-09;2002-10;2002-11;2002-12;2003-01;2003-02;2003-03;2003-04;2003-05;2003-06;2003-07;2003-08;2003-09;2003-10;2003-11;2003-12;2004-01;2004-02;2004-03;2004-04;2004-05;2004-06;2004-07;2004-08;2004-09;2004-10;2004-11;2004-12;2005-01;2005-02;2005-03;2005-04;2005-05;2005-06;2005-07;2005-08;2005-09;2005-10;2005-11;2005-12;2006-01;2006-02;2006-03;2006-04;2006-05;2006-06;2006-07;2006-08;2006-09;2006-10;2006-11;2006-12;2007-01;2007-02;2007-03;2007-04;2007-05;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12
CI; Computer, electronic and optical products ;3129;3168;3871;3313;3795;3636;3328;3429;4221;5010;4882;4542;3833;3526;4120;3353;3392;3480;3011;2921;3312;3842;3778;3438;3133;2948;3403;3171;3015;2949;2985;2386;3287;3714;3620;3248;2974;2690;2961;2843;2480;2687;2473;2379;3243;3665;3495;3521;3031;2894;3351;3154;2892;3284;2911;2740;3423;3581;3810;3672;3014;2894;3339;3114;3033;3453;2964;2954;3782;4209;4340;4322;3790;3645;4485;4055;4130;3942;3122;3019;3737;4261;4389;3860;3412;3135;3530;3197;3106;3471;3225;3096;3710;4249;4355;3533;3395;3221;3260;3354;2986;3283;3117;2778;3717;4325;3889;3511;2861;2691;3018;2852;2567;2927;2740;2510;3242;3682;3776;3592;3026;3033;3433;3364;3354;3913;3721;3341;3877;4005;4332;4043;3528;3389;4094;3617;3544;3530;3449;3194;3911;4165;4241;3843;3604;3391;3507;3278;3166;3710;3449;3162;3576;4113;4286;3638;3628;3136;3310;3468;3187;3352;3386;2990;3680;4136;4149;3688;3441;3090;3348;3283;3014;3300;3312;2861;3755;4098;4004;3966;3565;3263;3778;3608;3273;3842;3638;3144;4034;4632;4498;4252;3657;3537;3756;3457;3478;3762;3446;3281;3859;4068;4424;4304;4031;3278;3802;3372;3585;3985;3696;3543;4068;4403;4861;4339;4139;3322;3938;3582;3604;4006;3868;3617;3830;4665;4981;4209;3990;3634;4182;3849;3763;3827;3861;3460;4229;4693;4784;4227;4085;3410;3426;2565;2914;3840;3950;3375;3869;4249;4899;4583;4065;3825;4370;4064;3767;4276;4049;3874;4343;4593;4982;5248
CJ; Electrical and household equipment ;1115;1199;1350;1154;1337;1323;1219;1152;1459;1529;1479;1326;1290;1243;1390;1205;1311;1313;1216;1029;1210;1359;1225;1052;1191;1146;1217;1226;1174;1197;1247;943;1219;1325;1184;1099;1159;1137;1209;1175;1104;1158;1224;898;1297;1371;1214;1155;1104;1165;1366;1236;1191;1412;1260;1042;1387;1383;1398;1280;1183;1219;1372;1328;1354;1448;1265;1130;1476;1475;1477;1330;1325;1326;1594;1333;1492;1585;1373;1221;1571;1668;1619;1416;1529;1498;1618;1480;1567;1666;1577;1358;1608;1802;1682;1438;1597;1621;1530;1648;1558;1659;1694;1240;1779;1774;1487;1415;1293;1305;1395;1281;1218;1433;1345;1135;1549;1609;1526;1488;1373;1505;1797;1619;1593;1831;1650;1464;1894;1789;1840;1705;1634;1725;1934;1710;1935;1807;1660;1594;1914;1878;1828;1669;1754;1855;1877;1781;1790;1841;1825;1541;1734;2033;1806;1551;1791;1712;1760;1873;1734;1766;1851;1507;1921;2046;1825;1675;1844;1807;1855;1852;1700;1865;1937;1501;2034;2103;1847;1784;1826;1945;2138;1971;1846;2130;2035;1652;2174;2185;2081;1985;1901;2050;2077;2036;2011;2175;1936;1797;2222;2146;2123;1991;2148;2026;2305;2008;2259;2342;2203;1888;2294;2418;2417;2062;2338;2218;2378;2168;2268;2375;2412;1999;2338;2741;2463;2161;2364;2348;2448;2394;2482;2424;2575;2007;2517;2742;2454;2118;2328;2354;1990;1477;1654;2269;2299;1905;2505;2614;2548;2336;2354;2439;2753;2508;2424;2660;2449;2243;2669;2827;2830;2763
CK; Industrial and agricultural machinery, miscellaneous machinery ;2207;2295;2724;2318;2815;2543;2385;2012;2551;2709;2769;2752;2541;2600;2947;2611;2714;2729;2526;1980;2392;2643;2543;2368;2283;2375;2520;2531;2465;2552;2506;1886;2441;2577;2409;2394;2243;2263;2667;2468;2325;2502;2442;1657;2408;2606;2272;2538;2168;2347;2821;2538;2509;2829;2527;1965;2621;2570;2648;2701;2380;2503;2899;2767;2731;2993;2485;1989;2726;2639;2866;2931;2621;2702;3242;2728;3024;3100;2693;2250;2855;3009;3165;3003;3024;3111;3501;3210;3333;3583;3336;2654;3158;3728;3561;3115;3337;3525;3525;3712;3447;3659;3468;2453;3374;3528;3103;2960;2621;2620;2905;2628;2359;2707;2502;1818;2521;2647;2547;2672;2280;2467;3070;2738;2672;3055;2858;2214;2939;2951;3116;3124;2890;3086;3655;3122;3500;3397;3103;2618;3284;3149;3313;3159;3137;3346;3572;3234;3208;3389;3289;2406;3003;3316;3101;2899;3012;3016;3378;3345;3201;3339;3310;2325;3093;3304;3054;2977;2979;3116;3462;3303;3165;3427;3257;2317;3310;3320;3051;3097;2875;3130;3733;3386;3065;3618;3265;2444;3342;3364;3255;3357;3049;3459;3945;3559;3391;3681;3125;2606;3488;3240;3389;3327;3314;3453;4145;3331;3776;3835;3552;2844;3633;3660;3744;3379;3620;3671;4162;3809;3927;4079;3807;3002;3633;4091;3934;3547;3938;3960;4390;4100;4158;4006;4127;2986;4031;4267;3804;3570;3727;3975;3663;2475;2887;3611;3676;2757;3905;3855;3766;3737;3513;3871;4644;4233;4141;4436;4002;3256;4254;3999;4184;4275
CL; Transport equipment ;3577;4004;4508;3671;4509;4390;3822;2887;3913;4387;4759;4048;4635;4577;5762;4545;4845;4829;4800;3258;4138;4693;5131;3712;4549;5100;5372;5031;4574;4674;4529;3210;4469;5150;5002;3939;4540;4328;5321;5144;4684;5042;4385;2890;4896;5246;4993;4199;3947;4287;4821;5082;5113;5779;4847;3268;5694;5482;5386;4963;4503;4969;5726;5627;5554;5805;4727;3660;5763;5449;6116;4941;5382;5288;6653;5948;6193;6636;5389;4242;5666;6141;6019;4970;5809;6283;6752;6137;6788;7217;6599;4079;6559;7135;6660;5431;6243;6356;7025;7451;6467;7447;6231;3771;6872;6855;5656;4977;4629;5344;5824;5637;5922;6526;5289;3767;5682;6073;5890;5307;5106;5637;6704;5945;5817;7129;5650;4023;6094;6125;6303;6486;6098;5991;7690;6776;7158;6337;5712;4495;6937;6368;7313;5497;5810;6733;7403;6459;7314;7135;5889;4529;6541;6831;6532;5293;5689;6381;6796;6886;6031;6661;6419;4133;6328;7271;6459;5936;5967;6308;6576;6299;6449;7118;7007;3990;6944;7249;6550;6112;6244;7027;7593;7591;7754;7912;6746;4284;7691;7767;7696;7203;6669;8106;8905;8656;7749;8129;6863;5486;8014;7945;8578;7878;7570;7612;9549;7912;8441;8194;7589;5408;8260;8353;8967;6659;8240;7544;9164;8805;8658;8756;8238;5455;7624;8650;8501;7537;7673;8161;9544;9006;9431;8861;8968;6222;8629;9668;8851;8032;7761;8439;6571;2498;4427;6897;6914;4604;8101;8558;8017;6779;6154;6940;8553;7820;7022;8149;6334;4639;6659;7115;8029;8220
CM; Miscellaneous manufactured products ;785;898;1005;853;1014;945;934;805;1164;1226;1163;1026;990;975;1097;1006;1137;1035;1015;874;1092;1218;1096;945;1005;999;1081;1064;1042;962;1019;821;1128;1185;1062;953;995;1021;1074;1033;964;1025;1043;793;1172;1207;1065;999;960;1063;1246;1138;1076;1170;1094;903;1282;1275;1236;1180;1066;1139;1320;1257;1250;1262;1141;1022;1360;1364;1347;1297;1195;1201;1404;1235;1354;1350;1187;1089;1442;1480;1436;1290;1315;1316;1500;1359;1399;1444;1404;1160;1438;1596;1514;1317;1412;1493;1447;1486;1403;1494;1493;1101;1633;1656;1444;1396;1354;1396;1455;1355;1267;1438;1343;1044;1483;1517;1464;1365;1328;1434;1677;1521;1521;1677;1566;1371;1746;1721;1787;1713;1542;1683;1899;1638;1782;1814;1607;1437;2068;1901;1858;1745;1771;1775;1844;1714;1821;1864;1842;1679;1814;2074;1805;1605;1708;1702;1784;1712;1762;1855;1924;1448;2034;2049;1833;1778;1724;1771;1913;1784;1890;2050;1958;1782;2054;2208;1898;1937;1812;1942;2180;1933;2012;2332;2316;1771;2281;2203;2209;2085;1973;2182;2305;2110;2222;2265;2451;1982;2346;2202;2324;2168;2204;2036;2486;1948;2461;2666;2536;1970;2321;2359;2502;2212;2189;2178;2366;2086;2482;2819;2553;1995;2266;2585;2615;2302;2361;2417;2880;2435;2671;2780;2920;2098;2544;2759;2542;2399;2343;2526;1948;1164;1507;2196;2491;2038;2510;2575;2450;2474;2252;2346;2774;2525;2412;2758;2638;2230;2738;2743;2842;2960
DE; Natural hydrocarbons, other mining products, electricity, waste ;2007;2034;2208;1943;2250;2066;2007;2510;2436;2709;2721;2804;2462;2272;2148;2213;2512;2493;2250;2240;2160;2152;1918;2094;2054;1960;1974;2145;2194;2152;2199;1963;2052;2133;1985;2133;2367;2350;2170;2319;1913;1903;2206;2087;2122;2257;2240;2420;2374;2218;2440;2325;2412;2451;2441;2871;2636;3200;2867;2831;2840;2685;3429;3382;3042;2771;3546;3911;3450;3367;4110;4263;4458;3927;4314;4019;4123;4019;4229;4580;3705;3926;4189;4157;3571;3559;3412;3945;3993;3744;4428;3947;3977;4193;4775;5047;5473;4870;4316;5449;5044;6041;6642;6094;5573;5479;4825;4067;3278;3140;3396;3392;3206;3354;3592;3180;3060;3427;3454;3572;3253;3398;4160;4169;4225;3954;4281;4026;3785;2548;4431;4470;4894;5059;5419;4363;5378;4902;4736;5082;4923;5341;5317;5413;5427;5756;4753;5249;4679;4938;5338;5753;4037;5742;5403;4573;5251;5105;4599;5269;5292;4166;5301;4417;4676;4404;4456;4898;5205;3595;4135;4317;4114;3791;4601;3644;3759;4494;3247;3900;3280;2945;4100;3356;3266;3177;3277;2616;2800;3224;2615;2932;2239;2101;2391;2260;2044;1635;2746;2646;2450;2991;3280;3245;3833;3285;3043;2985;3233;2760;2666;2934;2677;3218;3948;3699;3940;3435;3305;3121;3034;3451;3822;3618;4026;4593;3792;3197;4015;2939;3992;3674;3573;3008;3488;3201;2435;2988;2926;2863;2401;2203;1840;1409;1440;1502;1800;1746;1788;1675;1963;1744;2273;2038;2760;2726;2577;2735;3365;3572;3590;4064;5396;6010
DZ; Electricity and manufactured gas ;54;32;24;25;14;17;16;14;17;18;13;22;16;24;27;11;6;21;17;21;28;22;15;18;47;42;19;44;32;19;39;34;23;39;25;23;27;31;33;31;37;39;61;46;62;78;95;53;52;45;58;69;100;30;40;50;68;61;50;75;44;38;58;20;6;13;18;8;11;11;29;49;83;146;112;8;3;13;78;6;13;9;23;53;32;19;16;21;15;9;23;14;22;77;226;147;57;32;61;49;22;44;57;39;57;160;76;98;111;50;33;38;25;62;84;57;72;263;90;122;173;115;111;59;66;28;39;21;50;172;100;145;72;49;50;31;30;16;13;16;28;49;77;46;34;323;22;47;26;29;50;46;29;44;36;40;57;92;98;57;18;7;13;16;21;39;91;107;36;50;42;24;9;10;5;4;26;32;23;41;33;77;38;43;16;17;32;12;26;48;41;24;57;32;38;41;19;12;35;47;61;147;207;192;290;79;32;24;24;45;51;35;32;105;252;191;19;115;100;23;13;10;39;74;45;75;160;76;177;49;21;42;10;9;38;28;41;55;141;81;60;13;24;6;5;35;81;84;161;76;62;132;204;118;119;191;73;52;64;38;94;188;834;1400
EZ; Industrial and household waste ;65;74;83;87;98;95;94;77;84;96;89;73;96;89;78;76;84;89;90;55;73;81;70;57;65;64;71;86;76;93;94;73;82;85;73;71;80;89;81;102;99;95;97;79;80;86;89;87;84;109;120;128;99;138;105;80;120;115;126;119;104;108;116;113;105;93;94;74;124;125;124;97;110;118;143;131;202;187;187;155;178;181;200;142;164;162;195;188;204;216;179;144;161;189;152;147;152;193;204;224;258;219;221;151;207;163;123;106;83;90;100;81;97;105;93;61;116;127;96;109;95;114;147;154;161;169;140;120;182;174;180;165;170;190;219;191;222;203;191;165;189;160;189;134;141;158;191;164;177;173;182;129;153;194;158;125;134;160;148;148;143;151;165;96;131;146;162;110;129;134;158;129;147;145;152;109;139;180;166;144;150;149;173;154;200;193;183;156;143;119;137;116;109;119;111;110;124;125;106;108;115;117;122;113;105;124;160;131;146;146;139;121;138;142;151;124;130;137;140;138;152;158;153;115;145;152;148;120;136;121;142;129;138;120;129;105;128;136;121;107;118;126;123;84;96;124;111;81;108;118;124;115;109;122;174;176;161;171;164;153;170;174;171;149
JA; Publishing and communication products ;250;236;286;223;266;265;211;274;271;303;343;347;258;233;273;222;227;260;232;247;266;316;362;346;279;247;280;228;239;278;239;233;284;322;323;339;267;247;277;249;230;255;214;215;277;343;329;342;279;247;294;238;220;255;200;204;299;340;325;331;264;269;265;254;232;264;215;230;296;331;352;336;254;245;291;226;236;247;212;237;286;328;324;325;268;257;293;241;261;273;246;248;289;370;382;324;283;272;276;283;253;275;235;235;308;364;377;322;234;255;281;238;219;235;231;215;329;364;305;315;245;227;279;223;229;261;213;235;312;321;327;326;247;248;284;242;259;244;213;232;329;339;328;308;257;263;267;243;221;240;217;228;316;341;295;276;236;234;270;235;227;225;209;229;335;340;293;276;239;209;232;222;215;205;195;202;300;307;265;275;210;210;235;214;177;210;188;201;295;293;266;258;203;202;226;213;190;198;165;201;296;291;260;238;197;186;217;168;184;193;161;184;261;262;258;221;201;178;197;176;176;173;156;185;271;253;254;214;204;208;210;195;187;176;175;181;261;248;230;227;191;173;157;101;125;174;175;169;211;226;223;231;174;166;207;181;176;183;166;204;242;240;249;252
MM; Plans and technical drawings, photographic plates and exposed film ;8;9;7;6;9;7;5;3;9;7;6;5;7;8;10;13;5;6;6;6;9;6;6;4;5;4;5;7;5;5;5;8;12;7;10;17;3;10;10;11;11;10;7;10;10;7;10;9;4;7;9;10;10;11;11;9;11;9;13;15;4;10;11;9;7;7;6;3;9;3;7;10;3;10;12;2;3;12;3;6;13;3;7;12;2;6;10;1;2;2;4;1;5;2;3;2;2;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;1;3;1;1;1;1;1;1;1;3;2;2;2;2;1;2;1;2;2;4;1;3;2;3;2;2;2;1;1;2;1;1;1;2;2;3;6;1;1;1;1;3;5;7;4;7;5;6;6;5;4;4;5;5;5;3;6;6;4;4;5;6;4;4;4;3;2;3;4;6;3;4;6;4;3;5;5;2;3;3;4;5;3;4;5;4;3;2;4;2;3;3;4;4;2;3;5;3;4;5;4;5;2;3;5;3;2;4;3;2;3;4;2;3;3;4;3;3;2;2;2;2;3;5;3;2;4;3;3;3;3;3;5
RZ; Art, antiques and collectors' items ;18;15;26;22;21;32;24;14;15;20;21;31;13;21;24;18;21;23;21;10;27;13;15;17;28;19;19;17;22;31;23;8;15;21;21;26;17;37;16;21;21;19;24;21;15;31;29;18;17;20;41;14;25;55;21;8;27;21;43;41;19;24;18;27;28;32;35;18;27;22;29;38;29;24;22;25;46;41;34;26;26;33;26;35;29;28;28;41;41;45;43;16;39;33;36;27;33;31;38;40;40;54;102;27;31;35;23;44;45;29;26;31;19;27;32;16;45;37;53;48;53;21;38;40;22;65;37;43;26;25;36;32;43;29;42;65;34;52;60;26;31;30;64;45;49;43;51;36;30;45;36;26;35;41;37;56;35;34;47;67;47;44;41;22;29;36;39;43;30;89;38;31;343;90;47;27;43;48;35;66;67;51;56;55;47;66;107;28;38;50;55;67;53;51;55;54;40;43;46;35;58;84;41;50;61;126;49;50;50;64;54;43;39;116;72;51;52;50;71;51;52;87;94;87;42;65;64;77;43;46;53;46;47;47;59;38;62;61;51;63;62;90;50;27;55;49;48;36;81;57;53;81;69;62;75;85;67;113;141;84;70;143;143;86
SZ; Unworked human hair ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
